HOT669 SEQF2286 1 1 1529	Neisseria meningitidis H44/76	GCA_000185025.2_ASM18502v2
HOT669 SEQF2285 4 4 1529	Neisseria meningitidis G2136	GCA_000191425.1_ASM19142v1
HOT669 SEQF2285 3 4 1529	Neisseria meningitidis G2136	GCA_000191425.1_ASM19142v1
HOT669 SEQF2285 2 4 1529	Neisseria meningitidis G2136	GCA_000191425.1_ASM19142v1
HOT649 SEQF2159 1 4 986		Neisseria lactamica 020-06	GCA_000196295.1_ASM19629v1
HOT858 SEQF2047 2 3 1526	Comamonas testosteroni CNB-2	GCA_000093145.2_ASM9314v2
HOT858 SEQF2047 1 3 1526	Comamonas testosteroni CNB-2	GCA_000093145.2_ASM9314v2
HOT477 SEQF1303 4 4 1536	Pseudomonas stutzeri A1501	GCA_000013785.1_ASM1378v1
HOT477 SEQF1303 1 4 1536	Pseudomonas stutzeri A1501	GCA_000013785.1_ASM1378v1
HOT477 SEQF1303 3 4 1536	Pseudomonas stutzeri A1501	GCA_000013785.1_ASM1378v1
HOT477 SEQF1303 2 4 1536	Pseudomonas stutzeri A1501	GCA_000013785.1_ASM1378v1
HOT612 SEQF1302 2 6 1530	Pseudomonas fluorescens SBW25	GCA_000009225.1_ASM922v1
HOT612 SEQF1302 4 6 1538	Pseudomonas fluorescens SBW25	GCA_000009225.1_ASM922v1
HOT545 SEQF1221 2 6 1527	Aggregatibacter aphrophilus NJ8700	GCA_000022985.1_ASM2298v1
HOT545 SEQF1221 1 6 1527	Aggregatibacter aphrophilus NJ8700	GCA_000022985.1_ASM2298v1
HOT545 SEQF1221 6 6 1527	Aggregatibacter aphrophilus NJ8700	GCA_000022985.1_ASM2298v1
HOT825 SEQF2154 4 6 1538	Listeria monocytogenes M7	GCA_000218305.1_ASM21830v1
HOT825 SEQF2154 3 6 1557	Listeria monocytogenes M7	GCA_000218305.1_ASM21830v1
HOT825 SEQF2154 6 6 1557	Listeria monocytogenes M7	GCA_000218305.1_ASM21830v1
HOT825 SEQF2154 5 6 1556	Listeria monocytogenes M7	GCA_000218305.1_ASM21830v1
HOT756 SEQF1966 6 7 1517	Lactobacillus salivarius CECT 5713	GCA_000143435.1_ASM14343v1
HOT756 SEQF1966 5 7 1517	Lactobacillus salivarius CECT 5713	GCA_000143435.1_ASM14343v1
HOT756 SEQF1966 2 7 1517	Lactobacillus salivarius CECT 5713	GCA_000143435.1_ASM14343v1
HOT756 SEQF2121 2 4 1555	Lactobacillus salivarius GJ-24	GCA_000217735.2_ASM21773v2
HOT756 SEQF2121 4 4 1555	Lactobacillus salivarius GJ-24	GCA_000217735.2_ASM21773v2
HOT756 SEQF2121 3 4 1555	Lactobacillus salivarius GJ-24	GCA_000217735.2_ASM21773v2
HOT568 SEQF1254 3 5 1568	Lactobacillus paracasei ATCC 334	GCA_000014525.1_ASM1452v1
HOT861 SEQF2542 4 5 1572	Lactobacillus plantarum 16	GCA_000412205.1_ASM41220v1
HOT861 SEQF2542 1 5 1572	Lactobacillus plantarum 16	GCA_000412205.1_ASM41220v1
HOT734 SEQF2302 1 1 1534	Streptococcus pneumoniae 459-5	GCA_000256665.1_ASM25666v1
